-23.58333,32.23
11.40903,33.93
39.41042,35.53
67.41319,35.83
95.43472,36.30
130.41042,36.80
158.42569,35.60
193.50833,31.87
221.43403,37.00
256.42083,35.93
284.43194,34.57
312.45625,32.53
340.43681,34.57
375.45833,35.77
403.43681,35.10
431.43889,36.27
466.43194,36.57
494.44514,36.30
522.46319,35.37
557.46944,33.93
585.44028,35.80
620.45972,33.93
648.46736,31.97
676.43403,33.90
704.49931,34.27
739.51319,33.60
768.48333,30.60
795.42431,31.73
830.44931,36.67
858.44028,36.90
886.44931,36.77
921.42153,36.30
949.42639,36.10
977.44792,36.10
1012.42222,33.53
1044.44583,32.87
1075.44167,34.37
1103.53542,33.30
1131.45208,34.40
1159.46806,34.50
1194.45208,36.07
1222.47500,37.10
1257.46944,37.90
1285.48056,33.17
1313.46875,36.70
1348.48333,32.73
1376.46181,31.80
1404.48125,28.03
1439.52292,33.07
1467.47500,33.40
1502.47361,32.60
1530.48472,35.90
1558.51667,36.00
1586.48403,35.93
1621.48194,36.00
1656.51597,36.43
1684.48611,36.03
1719.48194,35.20
1740.49653,24.13
1768.52639,36.20
1803.51111,35.10
1838.48056,35.10
1866.47986,34.80
1894.48958,34.80
1922.51319,36.30
1957.52292,35.57
1985.50417,37.07
2020.48958,34.80
2048.48056,35.17
2083.47361,34.30
2104.47639,32.67
2139.46667,31.20
2167.51806,33.40
2202.46528,32.47
2230.48333,35.13
2258.49931,35.40
2286.49722,36.00
2321.47708,37.97
2349.50833,37.13
2384.47500,24.77
2412.46736,32.77
2446.60417,33.70
2475.48472,33.13
2511.48889,35.07
2531.49792,34.90
2566.49444,29.33
2594.48056,34.80
2622.52569,36.10
2657.48819,35.27
2685.49653,36.07
2713.49792,36.00
2748.49167,36.67
2776.48681,37.43
2811.47361,32.37
2839.46875,32.50
2867.59722,32.63
2899.50694,21.67
2930.48056,33.07
2958.47500,32.97
2986.49444,31.07
3021.50972,36.37
3049.50556,35.27
3084.49375,37.63
3112.51042,38.30
3140.46250,35.70
3175.49653,35.77
3203.54861,32.70
3231.46667,34.30
3266.50069,33.90
3294.46458,35.93
3329.48194,27.70
3357.51528,35.20
3385.48403,37.10
3413.47847,31.33
3448.46597,37.33
3483.49375,35.80
3504.46667,35.70
3546.49514,30.97
3567.48889,31.40
3606.48750,32.50
3630.47083,34.17
3665.47847,35.03
3693.49097,35.30
3721.52431,35.93
3749.49167,36.77
3777.50694,37.25
3812.48958,36.70
3847.47361,36.80
3875.49653,33.58
3910.50486,34.37
3931.48750,34.03
3973.46736,34.58
3994.48194,35.60
4029.49097,35.45
4057.48472,35.53
4092.47569,36.27
4113.46667,36.66
4148.46597,36.71
4176.49167,35.62
4211.47431,27.33
4239.58403,34.88
4274.47083,35.96
4295.45972,32.04
4330.47222,34.08
4358.48194,33.70
4393.48472,35.99
4421.48056,36.28
4449.45833,36.34
4484.44583,33.47
4512.46250,36.71
4540.47222,37.33
4575.48958,36.29
4603.46528,36.97
4638.47917,34.23
4666.46389,29.99
4694.46944,33.22
4722.47083,34.03
4757.47778,35.51
4785.55347,35.37
4813.47361,37.32
4848.49097,37.05
4876.47292,40.48
4904.47222,36.67
4939.47292,33.66
4967.45903,37.25
5009.47745,34.61
5030.46111,33.99
5058.48194,34.57
5093.51319,35.29
5121.49861,35.90
5149.46597,34.70
5177.48889,32.67
5212.46597,36.43
5240.46042,31.30
5275.46458,33.64
5310.48819,34.94
5331.48472,35.92
5373.45556,33.45
5394.54653,32.67
5422.47361,32.42
5457.47847,34.22
5485.45833,34.73
5520.46181,34.46
5548.48889,37.81
5576.48194,35.32
5604.47431,37.14
5639.49514,36.61
5674.46319,35.73
5695.49306,37.18
5737.45486,32.59
5758.49722,33.40
5800.47986,29.45
5821.48056,30.66
5856.51806,33.43
