    8.8750    3.30   -5.71
    8.9166    2.46   -6.77
    8.9583    2.80   -7.70
    9.0000    3.05   -5.28
    9.0416    4.85   -8.40
    9.0833    4.10   -7.10
    9.1250    4.24   -5.05
    9.1666    2.64   -3.14
    9.2083    1.28   -1.53
    9.2500    1.28   -1.53
    9.2916    1.93   -2.30
    9.3333    0.51   -1.41
    9.3750    1.63   -2.83
    9.4166    2.39   -2.85
    9.4583    0.95   -1.65
    9.5000    1.41   -2.43
    9.5416    0.95   -1.65
    9.5833    0.33   -1.88
    9.6250    0.47   -1.28
    9.6666    0.00    0.00
    9.7083    1.15   -0.97
    9.7500    0.68   -1.88
    9.7916    1.93   -2.30
    9.8333    1.80   -3.12
    9.8750    0.85   -2.35
    9.9166    1.50   -2.60
    9.9583    0.50   -0.87
   10.0000    1.48    0.26
   10.0416    1.00   -1.73
   10.0833    2.46   -0.43
   10.1250    1.73   -1.00
   10.1666    0.97   -1.15
   10.2083    0.25   -0.43
   10.2500    0.00    0.00
   10.2916    0.64   -0.77
   10.3333    0.43   -0.25
   10.3750    2.22   -0.81
   10.4166    1.65   -0.95
   10.4583    1.18   -0.68
   10.5000    0.00    0.00
   10.5416    0.00    0.00
   10.5833    1.34   -0.24
   10.6250    1.91    0.00
   10.6666    0.00    0.00
   10.7083    0.38    0.32
   10.7500    0.47    0.17
   10.7916    0.94   -0.34
   10.8333    1.50    0.00
   10.8750    1.25   -2.16
   10.9166    1.80   -3.12
   10.9583    3.14   -2.64
   11.0000    1.28   -1.53
   11.0416    1.80   -3.12
   11.0833    1.53   -1.28
   11.1250    0.75   -1.30
   11.1666    0.99   -0.17
   11.2083    0.87    0.50
   11.2500    0.87    0.50
   11.2916    0.38    0.32
   11.3333    0.25    0.43
   11.3750    1.28   -0.47
   11.4166    0.88   -1.04
   11.4583    0.00    0.00
   11.5000    0.00    0.00
   11.5416    0.00    0.00
   11.5833    0.00    0.00
   11.6250    0.00    0.00
   11.6666    0.00    0.00
   11.7083    0.35   -1.97
   11.7500    0.09   -0.49
   11.7916   -0.34   -0.94
   11.8333    0.34   -0.94
   11.8750    0.94   -0.34
   11.9166    0.94   -0.34
   11.9583    1.53    1.28
   12.0000    1.88    0.68
   12.0416    1.25    2.16
   12.0833    1.00    1.73
   12.1250    1.73    1.00
   12.1666    0.64    0.77
   12.2083    0.00    0.00
   12.2500    0.49   -0.09
   12.2916   -0.50    0.87
   12.3333    0.99    0.17
   12.3750   -0.24    1.34
   12.4166    0.00    1.36
   12.4583    0.00    0.00
   12.5000    1.28    0.47
   12.5416    1.18    0.68
   12.5833    0.47    1.28
   12.6250    0.33    1.88
   12.6666    0.49    2.77
   12.7083    0.75    1.30
   12.7500    0.50    0.87
   12.7916    1.00    1.73
   12.8333    0.57    3.22
   12.8750    3.85    1.40
   12.9166    4.32    1.57
   12.9583    4.60    0.00
   13.0000    4.32    1.57
   13.0416    5.52    0.97
   13.0833    4.85   -2.80
   13.1250    1.06   -6.01
   13.1666    1.80   -3.12
   13.2083    1.80   -3.12
   13.2500    2.80   -4.85
   13.2916    1.50   -2.60
   13.3333    0.75   -1.30
   13.3750    3.20   -2.68
   13.4166    2.10   -2.50
   13.4583    2.50   -2.10
   13.5000    2.10   -2.50
   13.5416    2.50   -2.10
   13.5833    1.81   -2.15
   13.6250    1.81   -1.52
   13.6666    2.43   -1.41
   13.7083    3.61   -2.09
   13.7500    0.85   -2.35
   13.7916    3.62   -4.31
   13.8333    1.92   -5.26
   13.8750    2.46   -6.77
   13.9166    2.46   -6.77
   13.9583    1.92   -5.26
   14.0000    2.80   -4.85
   14.0416    0.71   -4.04
   14.0833    1.23   -3.38
   14.1250    3.22   -1.86
   14.1666    2.15   -1.81
   14.2083    1.23   -1.46
   14.2500    0.00    0.00
   14.2916    0.00    0.00
   14.3333    0.00    0.00
   14.3750    1.04   -0.88
   14.4166    1.23   -1.46
   14.4583    1.23   -1.46
   14.5000    0.00    0.00
   14.5416    0.95   -1.65
   14.5833    0.00    0.00
   14.6250    0.00    0.00
   14.6666    0.00    0.00
   14.7083   -0.47   -1.28
   14.7500    0.88   -1.04
   14.7916    0.47   -1.28
   14.8333    0.58   -0.70
   14.8750    0.88   -1.04
   14.9166   -1.53   -1.28
   14.9583   -1.53    1.28
   15.0000   -1.53    1.28
   15.0416   -1.88    0.68
   15.0833   -1.88    0.68
   15.1250   -1.88    0.68
   15.1666   -0.99   -0.17
   15.2083    0.09   -0.49
   15.2500    0.17   -0.99
   15.2916    0.00    0.00
   15.3333    0.00   -1.36
   15.3750    0.00    0.00
   15.4166    0.41   -2.32
   15.4583    0.00   -1.91
   15.5000    0.00    0.00
   15.5416    0.00    0.00
   15.5833    0.00    0.00
   15.6250   -0.47   -1.28
   15.6666    0.00    0.00
   15.7083    0.00    0.00
   15.7500    0.47   -1.28
   15.7916    0.00    0.00
   15.8333    0.00    0.00
   15.8750    0.00    0.00
   15.9166    0.00   -1.91
   15.9583   -2.64   -0.96
   16.0000   -3.26    0.00
   16.0416   -2.32    0.41
   16.0833   -2.36    0.00
   16.1250   -2.77   -0.49
   16.1666   -2.36    0.00
   16.2083   -2.32    0.41
   16.2500   -1.91    0.00
   16.2916   -1.28   -0.47
   16.3333    0.00   -1.36
   16.3750    0.00    0.00
   16.4166    0.00    0.00
   16.4583    0.00    0.00
   16.5000   -1.91    0.00
   16.5416   -1.36    0.00
   16.5833   -1.36    0.00
   16.6250    0.00    0.00
   16.6666    0.00    0.00
   16.7083   -5.52   -0.97
   16.7500   -0.49   -0.09
   16.7916   -2.46    0.43
   16.8333   -2.46    0.43
   16.8750   -3.54    0.62
   16.9166   -4.04    0.71
   16.9583   -5.02    0.89
   17.0000   -5.02    0.89
   17.0416   -6.50    1.15
   17.0833   -4.53    0.80
   17.1250   -3.54    0.62
   17.1666   -3.60    0.00
   17.2083   -5.02    0.89
   17.2500   -3.54    0.62
   17.2916   -2.95    0.52
   17.3333   -2.95    0.52
   17.3750   -3.72    0.00
   17.4166   -3.72    0.00
   17.4583   -3.72    0.00
   17.5000   -3.72    0.00
   17.5416   -3.22    0.57
   17.5833   -3.66    0.65
   17.6250   -2.35    0.85
   17.6666   -2.95    0.52
   17.7083   -2.46    0.43
   17.7500   -2.46    0.43
   17.7916   -2.35    0.85
   17.8333   -4.11    0.72
   17.8750   -3.55    2.05
   17.9166   -3.85    1.40
   17.9583   -5.10    0.00
   18.0000   -3.85    1.40
   18.0416   -2.60    1.50
   18.0833   -2.60    1.50
   18.1250   -1.73    1.00
   18.1666   -0.99    0.17
   18.2083   -0.99    0.17
   18.2500   -0.47    0.17
   18.2916   -1.41   -0.51
   18.3333   -0.49    0.09
   18.3750   -3.66    0.65
   18.4166   -4.11    0.72
   18.4583   -3.07    1.12
   18.5000   -1.46    1.23
   18.5416   -1.65    0.95
   18.5833    0.00    0.00
   18.6250   -2.22    0.81
   18.6666   -2.04    1.18
   18.7083   -0.75    1.30
   18.7500   -1.28    1.53
   18.7916   -1.50    2.60
   18.8333   -1.53    1.28
   18.8750   -1.80    3.12
   18.9166   -1.25    2.16
   18.9583   -1.23    3.38
   19.0000   -0.43    2.46
   19.0416   -0.68    1.88
